日付,TIF,移動元,移動先,回答数
2026-01-05,福井,道の駅「シーサイド高浜」,越前海岸 くりや旅館街 エリア,1
2026-01-06,石川,すずなり,のと里山空港,1
2026-01-06,福井,かつやま恐竜の森 エリア,平泉寺白山神社,1
2026-01-06,福井,ふくい鮮いちば エリア,大本山永平寺,1
2026-01-06,福井,福井県立恐竜博物館,かつやま恐竜の森 エリア,1
2026-01-06,福井,福井駅,かつやま恐竜の森 エリア,1
2026-01-06,福井,福井駅前 エリア,あわら温泉街,1
2026-01-06,福井,金津創作の森,あわら湯のまち エリア,1
2026-01-07,石川,兼六園,小松空港,1
2026-01-07,石川,小松空港,金沢21世紀美術館,1
2026-01-07,石川,金沢城,金沢中央観光案内所,2
2026-01-07,福井,スキージャム勝山,福井駅前 エリア,1
2026-01-07,福井,丸岡城,道の駅「越前おおの荒島の郷」 エリア,1
2026-01-07,福井,花の駅 ゆりの里公園 エリア,岡太神社・大瀧神社,1
2026-01-08,石川,のとじま水族館,兼六園,1
2026-01-08,石川,のと鉄道 POKÉMON with YOUトレイン,能登空港,1
2026-01-08,福井,かつやま恐竜の森 エリア,越前大仏,1
2026-01-08,福井,一乗谷朝倉氏遺跡,越前そばの里 エリア,1
2026-01-08,福井,大本山 永平寺 エリア,福井県立恐竜博物館,1
2026-01-08,福井,大本山永平寺,かつやま恐竜の森 エリア,1
2026-01-08,福井,敦賀駅,福井駅前 エリア,1
2026-01-08,福井,福井駅,JR敦賀駅前 エリア,1
2026-01-08,福井,越前大野城,日本海さかな街 エリア,1
2026-01-09,石川,小松空港,帰宅する,1
2026-01-09,石川,小松空港,永平寺,1
2026-01-09,福井,JR美浜駅 エリア,氣比神宮,1
2026-01-09,福井,かずら橋,かずら橋 エリア,1
2026-01-09,福井,かずら橋 エリア,あわら温泉街,1
2026-01-09,福井,かつやま恐竜の森 エリア,大本山永平寺,1
2026-01-09,福井,かつやま恐竜の森 エリア,福井県立恐竜博物館,1
2026-01-09,福井,ふくい鮮いちば エリア,福井県立恐竜博物館,1
2026-01-09,福井,一乗谷朝倉氏遺跡,三国湊 エリア,1
2026-01-09,福井,一乗谷朝倉氏遺跡,北潟湖 エリア,1
2026-01-09,福井,三国サンセットビーチ,三国湊 エリア,1
2026-01-09,福井,三国湊 エリア,一乗谷朝倉氏遺跡,1
2026-01-09,福井,三国湊 エリア,越前大野城,1
2026-01-09,福井,丸岡城,三国湊 エリア,1
2026-01-09,福井,北潟湖 エリア,あわら温泉街,1
2026-01-09,福井,北潟湖 エリア,福井県立恐竜博物館,1
2026-01-09,福井,吉崎御坊跡,北潟湖 エリア,1
2026-01-09,福井,名田庄 エリア,小浜市水産食品センター（若狭小浜お魚センター）,1
2026-01-09,福井,大本山 永平寺 エリア,野外恐竜博物館,1
2026-01-09,福井,大本山永平寺,かつやま恐竜の森 エリア,1
2026-01-09,福井,福井県立恐竜博物館,かつやま恐竜の森 エリア,1
2026-01-09,福井,福井県立恐竜博物館,湖上館パムコ（水月湖）エリア,1
2026-01-09,福井,福井駅前 エリア,養浩館庭園,1
2026-01-09,福井,越前がにミュージアム,越前海岸 くりや旅館街 エリア,1
2026-01-09,福井,越前そばの里 エリア,東尋坊,1
2026-01-09,福井,道の駅「三方五湖」,JR美浜駅 エリア,1
2026-01-09,福井,道の駅「三方五湖」  エリア,若狭海遊バザール千鳥苑 若狭美浜 海の駅,1
2026-01-09,福井,養浩館庭園,福井駅前 エリア,1
2026-01-10,石川,のとじま水族館,兼六園,1
2026-01-10,石川,のとじま水族館,和倉温泉,1
2026-01-10,石川,のと鉄道（通常）,和倉温泉,2
2026-01-10,石川,北陸自動車道　尼御前ＳＡ（下り）,兼六園,1
2026-01-10,石川,石川県立図書館,道の駅「高松」,3
2026-01-10,石川,金沢駅,のと鉄道（通常）,1
2026-01-10,福井,かつやま恐竜の森 エリア,大本山永平寺,2
2026-01-10,福井,かつやま恐竜の森 エリア,金沢駅周辺（石川県）,1
2026-01-10,福井,ふくい鮮いちば エリア,福井駅,1
2026-01-10,福井,ふれあいパーク三里浜(道の駅「みくに」),大本山 永平寺 エリア,1
2026-01-10,福井,スキージャム勝山,かつやま恐竜の森 エリア,1
2026-01-10,福井,三国湊 エリア,福井県立恐竜博物館,1
2026-01-10,福井,丸岡城,道の駅「若狭おばま」 エリア,1
2026-01-10,福井,大本山 永平寺 エリア,福井県立恐竜博物館,2
2026-01-10,福井,大本山 永平寺 エリア,越前大仏,1
2026-01-10,福井,大本山永平寺,道の駅「禅の里」 エリア,1
2026-01-10,福井,小浜市水産食品センター（若狭小浜お魚センター）,小浜 エリア（宿泊施設）,1
2026-01-10,福井,敦賀駅,今庄宿 エリア,1
2026-01-10,福井,東尋坊 エリア,あわら温泉街,1
2026-01-10,福井,氣比神宮,かつやま恐竜の森 エリア,1
2026-01-10,福井,福井和泉スキー場,JR九頭竜湖駅 エリア,1
2026-01-10,福井,福井県立恐竜博物館,JR美浜駅 エリア,1
2026-01-10,福井,福井県立恐竜博物館,かつやま恐竜の森 エリア,1
2026-01-10,福井,福井県立恐竜博物館,道の駅「恐竜渓谷かつやま」 エリア,2
2026-01-10,福井,福井駅前 エリア,東尋坊,1
2026-01-10,福井,紫式部公園 エリア,敦賀駅,1
2026-01-10,福井,越前大野城,大本山 永平寺 エリア,1
2026-01-10,福井,越前大野城,越前大野城・城下町 エリア,1
2026-01-10,福井,越前大野城・城下町 エリア,越前がにミュージアム,1
2026-01-10,福井,越前松島水族館,三国湊 エリア,1
2026-01-10,福井,道の駅「シーサイド高浜」,若狭高浜 エリア,1
2026-01-10,福井,道の駅「三方五湖」  エリア,道の駅「三方五湖」,1
2026-01-10,福井,道の駅「恐竜渓谷かつやま」 エリア,越前がにミュージアム,1
2026-01-10,福井,道の駅「禅の里」 エリア,道の駅「恐竜渓谷かつやま」,1
2026-01-10,福井,金ヶ崎 エリア,福井県立恐竜博物館,1
2026-01-11,石川,のとじま水族館,和倉温泉,1
2026-01-11,石川,兼六園,月うさぎの里,1
2026-01-11,石川,氷見番屋街,のとじま水族館,1
2026-01-11,石川,白山比咩神社,ふれあい昆虫館,1
2026-01-11,福井,JR芦原温泉駅 エリア,あわら温泉街,1
2026-01-11,福井,あわら温泉街,あわら湯のまち エリア,1
2026-01-11,福井,あわら温泉街,福井駅前 エリア,1
2026-01-11,福井,あわら湯のまち エリア,金沢駅周辺（石川県）,1
2026-01-11,福井,かつやま恐竜の森 エリア,北の庄城址・柴田公園,1
2026-01-11,福井,かつやま恐竜の森 エリア,福井駅,1
2026-01-11,福井,かつやま恐竜の森 エリア,越前がにミュージアム,1
2026-01-11,福井,だるまちゃん広場 エリア,岡太神社・大瀧神社,1
2026-01-11,福井,一乗谷朝倉氏遺跡 エリア,道の駅「一乗谷あさくら水の駅」,1
2026-01-11,福井,中山寺,かつやま恐竜の森 エリア,1
2026-01-11,福井,丸岡城,えちぜん鉄道 松岡駅 エリア,1
2026-01-11,福井,丸岡城,道の駅みくに ふれあいパーク三里浜 エリア,1
2026-01-11,福井,丸岡城 エリア,道の駅「さかい」（坂井地域交流センター「いねす」）,2
2026-01-11,福井,今庄宿,今庄宿 エリア,1
2026-01-11,福井,大本山 永平寺 エリア,一乗谷朝倉氏遺跡,2
2026-01-11,福井,大本山 永平寺 エリア,丸岡城,1
2026-01-11,福井,大本山永平寺,JR芦原温泉駅 エリア,2
2026-01-11,福井,大本山永平寺,かつやま恐竜の森 エリア,1
2026-01-11,福井,大本山永平寺,一乗谷朝倉氏遺跡 エリア,1
2026-01-11,福井,大本山永平寺,丸岡城 エリア,1
2026-01-11,福井,大本山永平寺,福井駅前 エリア,1
2026-01-11,福井,東尋坊,丸岡城 エリア,1
2026-01-11,福井,東尋坊,大本山 永平寺 エリア,1
2026-01-11,福井,東尋坊,越前海岸 北部 エリア,1
2026-01-11,福井,福井県立恐竜博物館,かつやま恐竜の森 エリア,1
2026-01-11,福井,福井県立恐竜博物館,だるまちゃん広場 エリア,1
2026-01-11,福井,福井県立恐竜博物館,丸岡城 エリア,1
2026-01-11,福井,福井県立恐竜博物館,福井駅前 エリア,2
2026-01-11,福井,福井県立恐竜博物館,道の駅「南えちぜん山海里」 エリア,1
2026-01-11,福井,福井駅,福井駅前 エリア（宿泊施設）,1
2026-01-11,福井,福井駅前 エリア,めがねミュージアム,1
2026-01-11,福井,福井駅前 エリア,北の庄城址・柴田公園,1
2026-01-11,福井,福井駅前 エリア,氣比神宮,1
2026-01-11,福井,福井駅前 エリア（宿泊施設）,めがねミュージアム,1
2026-01-11,福井,越前そばの里 エリア,丸岡城,1
2026-01-11,福井,越前大仏,福井駅前 エリア（宿泊施設）,1
2026-01-11,福井,越前海岸 北部 エリア,ふれあいパーク三里浜(道の駅「みくに」),1
2026-01-12,石川,のとじま水族館,ひょっこり温泉,1
2026-01-12,石川,のとじま水族館,和倉温泉街,1
2026-01-12,石川,のとじま水族館,花嫁のれん館,1
2026-01-12,石川,ゆのくに天祥,兼六園,2
2026-01-12,石川,ゆのくに天祥,近江町市場,1
2026-01-12,石川,小松空港,帰ります,1
2026-01-12,石川,小松空港,羽田空港,1
