TIF,回答場所,回答数,10歳未満,10代,20代,30代,40代,50代,60代,70代,80代,90代,男,女,その他,無回答,北海道,青森県,岩手県,宮城県,秋田県,山形県,福島県,茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県,新潟県,富山県,石川県,福井県,山梨県,長野県,岐阜県,静岡県,愛知県,三重県,滋賀県,京都府,大阪府,兵庫県,奈良県,和歌山県,鳥取県,島根県,岡山県,広島県,山口県,徳島県,香川県,愛媛県,高知県,福岡県,佐賀県,長崎県,熊本県,大分県,宮崎県,鹿児島県,沖縄県,日帰り,1泊,2泊,3泊,4泊以上,宿でのんびり過ごす,温泉や露天風呂,地元の美味しいものを食べる,花見や紅葉などの自然鑑賞,名所、旧跡の観光,テーマパーク（遊園地、動物園、博物館など）,買い物、アウトレット,お祭りやイベントへの参加・見物,スポーツ観戦や芸能鑑賞（コンサート等）,アウトドア（海水浴、釣り、登山など）,まちあるき、都市散策,各種体験（手作り、果物狩りなど）,スキー・スノボ、マリンスポーツ,その他スポーツ（ゴルフ、テニスなど）,ドライブ・ツーリング,友人・親戚を尋ねる,出張など仕事関係,その他の目的,Facebook,Google,Googleマップ,Instagram,TikTok,X（旧Twitter）,YouTube,SNS広告,ブログ,まとめサイト,インターネット・アプリ,デジタルニュース,宿泊予約Webサイト,宿泊施設,TV・ラジオ番組やCM,ラブライブのスタンプラリー,新聞・雑誌・ガイドブック,旅行会社,友人・知人,地元の人,観光パンフレット・ポスター,観光案内所,観光展・物産展,観光連盟やDMOのHP,その他,満足度（旅行全体）,推奨者,非推奨者,NPS,100万円未満,100万円以上 200万円未満,200万円以上 300万円未満,300万円以上 400万円未満,400万円以上 500万円未満,500万円以上 600万円未満,600万円以上 700万円未満,700万円以上 800万円未満,800万円以上 900万円未満,"900万円以上 1,000万円未満","1,000万円以上 1,200万円未満","1,200万円以上 1,500万円未満","1,500万円以上",分からない/無回答,1: 300万円未満,5: 2000万円以上,3: 600?1000万円,2: 300?599万円,4: 1000?2000万円,6: 無回答,自分ひとり,恋人,友人,夫婦2人,団体旅行,親戚,親,職場の同僚,小学生以下連れの家族,中学生以下連れの家族,高校生連れの家族,災害支援
福井,熊川宿 エリア,60,0,0,3,6,8,27,15,1,0,0,31,25,1,3,0,0,0,0,0,0,0,0,0,0,2,1,4,3,0,0,0,10,0,1,2,3,3,0,3,8,15,2,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,29,13,7,8,3,3,9,25,3,18,2,5,0,0,1,12,0,0,0,11,1,2,2,0,0,0,5,0,1,0,0,1,0,22,0,0,4,3,0,8,0,4,0,19,4,7,5,1,4.083333333,15,15,0,4,2,1,8,4,7,10,5,1,2,5,1,2,8,0,0,0,0,0,0,17,7,0,25,0,0,2,0,0,0,0,0
福井,紫式部公園 エリア,17,0,0,0,6,2,3,5,0,0,0,7,10,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,5,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,3,2,1,0,0,5,3,5,0,0,0,2,1,2,0,0,0,4,0,0,1,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,2,0,2,0,4,0,0,0,1,3.941176471,5,7,-11.76470588,2,0,4,1,0,2,0,2,0,0,1,0,0,5,0,0,0,0,0,0,1,1,4,5,1,0,1,1,1,0,0,0
福井,金ヶ崎 エリア,123,0,1,6,23,26,37,27,2,0,0,57,64,0,2,1,0,0,0,0,2,0,2,0,1,4,1,9,1,1,4,8,25,1,1,5,1,8,1,9,9,16,8,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,58,32,21,8,4,16,21,53,9,38,21,8,7,1,0,33,2,0,0,18,3,4,2,2,0,0,13,0,4,0,0,3,0,57,0,0,2,7,0,13,0,9,0,26,3,17,3,4,4.284552846,40,23,13.82113821,17,3,9,10,14,11,11,9,9,2,7,1,2,18,0,0,0,0,0,0,24,7,6,51,1,0,7,2,9,0,0,0
福井,武生駅 エリア,2,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,1,0,50,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
福井,東尋坊 エリア,22,0,0,0,9,4,6,3,0,0,0,9,12,0,1,0,0,0,0,0,0,0,0,0,2,3,0,6,1,0,2,1,1,0,0,1,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,8,1,1,5,6,11,0,8,4,1,0,0,0,3,0,0,0,1,2,0,0,0,0,0,3,0,1,0,0,1,0,10,0,0,2,1,0,4,0,6,0,2,1,2,0,1,4.227272727,13,1,54.54545455,2,0,0,3,2,3,1,2,1,0,1,0,4,3,0,0,0,0,0,0,1,1,2,10,0,0,3,0,1,0,0,0
福井,丸岡城 エリア,86,0,1,1,6,14,39,21,3,0,0,45,38,1,2,1,0,1,0,0,0,0,0,0,1,3,2,9,6,1,0,10,14,0,0,3,1,11,1,1,4,7,2,4,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,27,22,20,7,10,6,17,30,6,47,8,2,2,1,0,8,0,0,1,10,7,3,5,0,0,0,9,0,1,0,0,1,0,40,0,0,1,5,0,13,0,9,1,18,6,5,2,1,4.244186047,30,14,18.60465116,6,5,5,11,7,9,5,5,8,4,1,3,2,15,0,0,0,0,0,0,18,7,2,35,1,0,6,2,4,0,0,0
福井,道の駅みくに ふれあいパーク三里浜 エリア,52,0,0,4,5,7,20,13,2,0,0,27,25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,6,22,0,1,1,1,5,1,0,1,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,28,9,7,3,5,4,11,27,4,8,2,12,5,0,1,7,1,0,0,8,1,1,1,2,0,0,6,0,1,0,0,0,0,13,0,0,0,2,0,4,0,7,0,18,1,5,2,3,3.980769231,17,20,-5.769230769,6,2,3,4,6,7,4,2,2,2,0,0,2,12,0,0,0,0,0,0,5,3,0,29,0,0,3,0,5,0,0,0
福井,道の駅「シーサイド高浜」 エリア,33,0,0,2,5,7,11,7,1,0,0,18,14,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,10,0,0,1,1,1,0,0,11,3,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,20,7,2,4,0,1,6,5,2,4,1,6,1,0,1,4,0,0,0,6,4,1,3,0,0,0,0,0,0,0,0,0,0,11,0,0,2,1,0,1,0,5,0,7,7,1,2,4,3.575757576,8,14,-18.18181818,5,2,3,2,3,4,3,3,0,1,2,0,1,4,0,0,0,0,0,0,9,2,1,9,0,0,2,2,5,0,0,0
福井,はたや記念館 ゆめおーれ勝山 エリア,56,0,0,1,9,8,20,14,3,0,0,19,36,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,36,0,0,3,0,5,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,8,0,0,3,3,3,9,0,9,2,8,1,0,0,10,1,0,0,13,0,2,4,0,0,0,6,0,0,0,0,0,0,12,0,0,0,1,0,7,0,7,0,16,2,7,1,3,4.142857143,17,14,5.357142857,8,2,6,2,8,9,2,5,1,2,2,1,1,7,0,0,0,0,0,0,14,0,2,27,0,0,1,0,5,0,0,0
福井,越前海岸 くりや旅館街 エリア,19,0,0,0,3,2,4,10,0,0,0,6,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1,0,0,0,2,0,0,1,0,0,0,0,1,1,5,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,9,6,1,2,11,10,17,0,3,2,1,0,0,0,0,0,1,0,1,1,0,2,0,0,0,3,0,0,0,0,0,0,12,0,0,2,0,0,1,0,3,0,0,0,0,1,2,4.789473684,14,0,73.68421053,2,0,1,1,3,2,0,0,1,1,3,0,0,5,0,0,0,0,0,0,0,1,1,8,0,0,4,0,0,0,0,0
